Site,s_graph_value,s_table_name
BODD,PO4-P (sol react) {SRP FRP} (ug/L),sensor_repository_03174
BODD,Program Code,sensor_repository_03115
BODD,Program Site Ref,sensor_repository_03114
BODD,Salinity (ppt),sensor_repository_03124
BODD,Sample Type,sensor_repository_03116
BODD,Secchi depth (m),sensor_repository_03144
BODD,Security Level,sensor_repository_03122
BODD,SiO2 (sol react) (ug/L),sensor_repository_03183
BODD,SiO2-Si (sol react) (ug/L),sensor_repository_03186
BODD,Site Ref,sensor_repository_03113
BODD,Suspended Solids (Total) {TSS} (mg/L),sensor_repository_03189
BODD,Temperature (deg C),sensor_repository_03130
BODD,Tide status,sensor_repository_03222
BODD,Turbidity (NTU),sensor_repository_03141
BODD,Water level (SLE) (m),sensor_repository_03224
BODD,Wind direction (°),sensor_repository_03227
BODD,Wind speed (knot),sensor_repository_03230
BRD01,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_03415
BRD01,Bottom Depth (m),sensor_repository_03385
BRD01,C (sol org) {DOC as NPOC} (ug/L),sensor_repository_03418
BRD01,Chlorophyll a (by vol) (mg/L),sensor_repository_03429
BRD01,Chlorophyll a (in situ) (RFU),sensor_repository_03447
BRD01,Chlorophyll a (in situ) (ug/L),sensor_repository_03444
BRD01,Chlorophyll b (by vol) (mg/L),sensor_repository_03432
BRD01,Chlorophyll c (by vol) (mg/L),sensor_repository_03435
BRD01,Chlorophyll sample volume (mL),sensor_repository_03438
BRD01,Cloud cover (%),sensor_repository_03457
BRD01,Collection Method,sensor_repository_03355
BRD01,Conductivity @ 25 deg C (uS/cm),sensor_repository_03365
BRD01,Depth (m),sensor_repository_03358
BRD01,Depth _s (m),sensor_repository_03357
BRD01,Depth measuring point,sensor_repository_03356
BRD01,Depth To (m),sensor_repository_03359
BRD01,Dissolved Oxygen (% saturation),sensor_repository_03374
BRD01,Dissolved Oxygen (mg/L),sensor_repository_03371
BRD01,Flow status,sensor_repository_03459
BRD01,N (sum sol org) {DON} (ug/L),sensor_repository_03397
BRD01,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_03391
BRD01,N (tot kjel) {TKN} (ug/L),sensor_repository_03400
BRD01,N (tot) {TN pTN} (ug/L),sensor_repository_03388
BRD01,NH3-N/NH4-N (sol) (ug/L),sensor_repository_03394
BRD01,NO2-N (sol) (ug/L),sensor_repository_03403
BRD01,NO3-N (sol) (ug/L),sensor_repository_03406
